userID,sessionID,sourceText,targetLang,translationMode,usageCount,lastTranslation,lastTranslatedAt
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,possibly,el,word,1,ενδεχομένως,2026-05-08T11:49:52.338Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,around,el,word,3,γύρω από,2026-05-08T11:50:18.282Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,"return,",el,word,1,"επιστρέψει,",2026-05-08T11:50:17.697Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,honeybee,el,word,2,μέλισσα,2026-05-08T11:50:17.997Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,bee,el,word,1,μέλισσες,2026-05-08T11:50:18.043Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,researchers,el,word,1,ερευνητές,2026-05-08T11:50:18.296Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,need,el,word,1,χρεια,2026-05-08T11:50:19.179Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,bees?,el,word,1,τις μέλισσες;,2026-05-08T11:50:21.060Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,annoying,el,word,2,ενοχλητικές,2026-05-08T11:50:31.032Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,truth,el,word,1,η αλήθεια,2026-05-08T11:50:23.515Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,incredibly,el,word,3,απίστευτα,2026-05-08T11:50:38.477Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,important,el,word,1,σημαντικό,2026-05-08T11:50:28.541Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,humans.,el,word,2,τους ανθρώπους.,2026-05-08T11:50:38.043Z
3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,mass,el,word,1,μαζική,2026-05-08T11:50:43.469Z
4,94b05579-31f4-4631-b2ea-beb634a1d5cd,traveller,el,word,2,ταξιδιώτης,2026-05-08T13:31:38.561Z
